Assembly	SOAPdenovo	SOAPdenovo_broken	SPAdes	SPAdes_broken
# contigs (>= 0 bp)	104456	12069	101792	2736
# contigs (>= 1000 bp)	1890	668	225	239
# contigs (>= 5000 bp)	163	68	107	116
# contigs (>= 10000 bp)	13	12	64	71
# contigs (>= 25000 bp)	0	0	26	22
# contigs (>= 50000 bp)	0	0	6	4
Total length (>= 0 bp)	28345253	3722359	17084268	3729834
Total length (>= 1000 bp)	3872816	1809989	2209654	2206362
Total length (>= 5000 bp)	1163183	517818	1940088	1925646
Total length (>= 10000 bp)	154551	143608	1638301	1619584
Total length (>= 25000 bp)	0	0	1069558	866346
Total length (>= 50000 bp)	0	0	372491	263951
# contigs	9754	12069	2706	2736
Largest contig	16922	16922	91776	91776
Total length	9365988	3722359	3779321	3729834
GC (%)	44.95	47.25	46.20	46.25
N50	871	867	5771	5962
N75	687	171	640	639
L50	2764	723	98	105
L75	5787	4269	1069	1041
# N's per 100 kbp	41332.77	2.55	210.70	0.00
